Date,Amount,Description,Category
2025-09-01,14.99,Netflix,Movies & TV
2025-09-01,12.99,Apple Music,Music
2025-09-01,19.99,Les Mills+,Fitness
2025-09-01,9.99,Audible,Reading
2025-09-01,15.99,Max,Movies & TV
2025-09-01,11.99,Apple Arcade,Gaming
2025-09-01,8.99,Substack,Reading
2025-09-01,29.99,HelloFresh,Food
2025-09-01,6.99,Koala Sleep Club,Wellness
2025-09-01,12.49,Canva Pro,Software
2025-09-01,9.99,Stan Sport,Movies & TV
2025-09-01,7.99,Calm App,Wellness
2025-09-01,19.99,Amazon Prime,Shopping
2025-09-01,5.99,The Iconic Membership,Shopping
2025-09-01,10.99,Telstra Internet,Internet & Phone

